mpg cylinders displacement horsepower weight acceleration model_year car_code car
18 8 307 130 3504 12 70 1 chevrolet_chevelle_malibu
15 8 350 165 3693 11.5 70 2 buick_skylark_320
18 8 318 150 3436 11 70 3 plymouth_satellite
16 8 304 150 3433 12 70 4 amc_rebel_sst
17 8 302 140 3449 10.5 70 5 ford_torino
15 8 429 198 4341 10 70 6 ford_galaxie_500
14 8 454 220 4354 9 70 7 chevrolet_impala
14 8 440 215 4312 8.5 70 8 plymouth_fury_iii
14 8 455 225 4425 10 70 9 pontiac_catalina
15 8 390 190 3850 8.5 70 10 amc_ambassador_dpl
15 8 383 170 3563 10 70 11 dodge_challenger_se
14 8 340 160 3609 8 70 12 plymouth_'cuda_340
15 8 400 150 3761 9.5 70 13 chevrolet_monte_carlo
14 8 455 225 3086 10 70 14 buick_estate_wagon_(sw)
24 4 113 95 2372 15 70 15 toyota_corona_mark_ii
22 6 198 95 2833 15.5 70 16 plymouth_duster
18 6 199 97 2774 15.5 70 17 amc_hornet
21 6 200 85 2587 16 70 18 ford_maverick
27 4 97 88 2130 14.5 70 19 datsun_pl510
26 4 97 46 1835 20.5 70 20 volkswagen_1131_deluxe_sedan
25 4 110 87 2672 17.5 70 21 peugeot_504
24 4 107 90 2430 14.5 70 22 audi_100_ls
25 4 104 95 2375 17.5 70 23 saab_99e
26 4 121 113 2234 12.5 70 24 bmw_2002
21 6 199 90 2648 15 70 25 amc_gremlin
10 8 360 215 4615 14 70 26 ford_f250
10 8 307 200 4376 15 70 27 chevy_c20
11 8 318 210 4382 13.5 70 28 dodge_d200
9 8 304 193 4732 18.5 70 29 hi_1200d
27 4 97 88 2130 14.5 71 30 datsun_pl510
28 4 140 90 2264 15.5 71 31 chevrolet_vega_2300
25 4 113 95 2228 14 71 32 toyota_corona
25 4 98 ? 2046 19 71 33 ford_pinto
19 6 232 100 2634 13 71 34 amc_gremlin
16 6 225 105 3439 15.5 71 35 plymouth_satellite_custom
17 6 250 100 3329 15.5 71 36 chevrolet_chevelle_malibu
19 6 250 88 3302 15.5 71 37 ford_torino_500
18 6 232 100 3288 15.5 71 38 amc_matador
14 8 350 165 4209 12 71 39 chevrolet_impala
14 8 400 175 4464 11.5 71 40 pontiac_catalina_brougham
14 8 351 153 4154 13.5 71 41 ford_galaxie_500
14 8 318 150 4096 13 71 42 plymouth_fury_iii
12 8 383 180 4955 11.5 71 43 dodge_monaco_(sw)
13 8 400 170 4746 12 71 44 ford_country_squire_(sw)
13 8 400 175 5140 12 71 45 pontiac_safari_(sw)
18 6 258 110 2962 13.5 71 46 amc_hornet_sportabout_(sw)
22 4 140 72 2408 19 71 47 chevrolet_vega_(sw)
19 6 250 100 3282 15 71 48 pontiac_firebird
18 6 250 88 3139 14.5 71 49 ford_mustang
23 4 122 86 2220 14 71 50 mercury_capri_2000
28 4 116 90 2123 14 71 51 opel_1900
30 4 79 70 2074 19.5 71 52 peugeot_304
30 4 88 76 2065 14.5 71 53 fiat_124b
31 4 71 65 1773 19 71 54 toyota_corolla_1200
35 4 72 69 1613 18 71 55 datsun_1200
27 4 97 60 1834 19 71 56 volkswagen_model_111
26 4 91 70 1955 20.5 71 57 plymouth_cricket
24 4 113 95 2278 15.5 72 58 toyota_corona_hardtop
25 4 97.5 80 2126 17 72 59 dodge_colt_hardtop
23 4 97 54 2254 23.5 72 60 volkswagen_type_3
20 4 140 90 2408 19.5 72 61 chevrolet_vega
21 4 122 86 2226 16.5 72 62 ford_pinto_runabout
13 8 350 165 4274 12 72 63 chevrolet_impala
14 8 400 175 4385 12 72 64 pontiac_catalina
15 8 318 150 4135 13.5 72 65 plymouth_fury_iii
14 8 351 153 4129 13 72 66 ford_galaxie_500
17 8 304 150 3672 11.5 72 67 amc_ambassador_sst
11 8 429 208 4633 11 72 68 mercury_marquis
13 8 350 155 4502 13.5 72 69 buick_lesabre_custom
12 8 350 160 4456 13.5 72 70 oldsmobile_delta_88_royale
13 8 400 190 4422 12.5 72 71 chrysler_newport_royal
19 3 70 97 2330 13.5 72 72 mazda_rx2_coupe
15 8 304 150 3892 12.5 72 73 amc_matador_(sw)
13 8 307 130 4098 14 72 74 chevrolet_chevelle_concours_(sw)
13 8 302 140 4294 16 72 75 ford_gran_torino_(sw)
14 8 318 150 4077 14 72 76 plymouth_satellite_custom_(sw)
18 4 121 112 2933 14.5 72 77 volvo_145e_(sw)
22 4 121 76 2511 18 72 78 volkswagen_411_(sw)
21 4 120 87 2979 19.5 72 79 peugeot_504_(sw)
